"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Prevotella_scopos",0,1534,0,0,0,0,0,0,0,5826,1,0,0,612,12,0,179,50,0,0,0,0,2,50,0,13,0,0,0,0,0,0,0,0,11500,0,0,0,0,0,0,290,3310,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,668,0,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,261,0,0,0,0,0,173,0,6,13,0,0,0,0,0,0,0,0,1814,0
"Pseudomonas_aeruginosa",0,0,0,0,0,0,0,314,0,29633,116088,0,0,0,0,0,0,0,0,456,0,0,0,0,1740,0,0,4260,0,81,0,0,3012,31584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,2289,0,0,0,0,0,791,0,5074,0,8574,0,0,0,0,0,0,0,0,0,20383,0,0,0,0,0,0
"Pseudomonas_protegens",0,0,0,12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas_sp.",0,161,0,1373,1005,0,8,2,201,0,2,184,0,92,148,5,225,11,45,4,1,36,44,80,4,287,34,16,0,403,0,207,0,0,1972,309,196,116,438,630,0,106,617,123,150,15,19,1840,31,0,13,0,222,406,480,61,0,20,807,137,26,0,105,56,3,13,0,68,0,1473,0,84,0,0,430,0,49,63,0,0,31,11,211,24,158,19,704,935,18,0,0,10,29,0,0,0,0,2,0,59
"Pseudostreptobacillus_sp.",388,1010,0,0,0,0,0,0,598,0,0,0,0,4543,0,0,0,0,0,0,8,0,32,0,0,0,0,0,6,0,0,385,0,0,18086,0,0,0,936,68,0,2,0,1258,1,1237,0,45,2614,350,0,0,0,10125,0,0,1589,0,0,127,3924,0,0,0,0,501,0,0,65,125,0,0,0,0,1214,0,0,0,3,0,764,36,0,0,18,0,11,0,0,2760,0,0,0,0,0,0,0,199,3494,0
"Rothia_mucilaginosa",508,28,0,0,0,317,0,0,0,817,5,33,0,490,0,0,17,745,6,48,3856,68,690,0,0,49,44,0,0,0,14726,303,0,0,0,0,87,17,0,286,273,180,801,320,3,12,452,0,52,0,0,0,106,72,24,4,350,1536,0,143,1607,160,78,0,0,0,0,51,566,263,458,576,1520,0,783,23,34,76,46,0,0,0,724,512,187,23,0,36,4,17,3,9,9,18,0,27,736,154,0,25
"Serratia_marcescens",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11750,0,0,0,0,0,0,0,0,0,0,84,0,17475,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18765,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2668,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"Serratia_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sneathia_sp.",0,0,0,0,111959,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,8356,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1527,0,0,0,0,0,85,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_aureus",0,3313,767,0,0,0,0,0,0,0,1,0,29312,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,17,55364,0,683,0,0,3188,0,33323,0,0,0,0,0,0,0,13654,0,0,0,0,0,33794,0,0,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_epidermidis",162510,0,0,6411,0,0,6347,54268,0,0,0,21029,0,204,0,0,0,49498,63,8709,1,2911,0,44761,0,15154,0,10241,2302,0,1005,12642,0,4568,2495,0,0,0,36,38696,0,7,0,0,0,459,30257,0,8248,17,0,0,33270,38672,59752,0,0,1,0,0,1314,34,20404,0,31951,57,0,1496,0,0,1104,0,0,6223,0,0,61744,229,0,0,0,613,0,0,0,0,0,7006,906,0,0,0,6341,0,2866,4184,124,0,0,0
"Staphylococcus_haemolyticus",0,0,0,0,0,0,0,11,0,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,10,6,0,0,0,0,0,156,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,44,0,0,5,0,35,12,0,0,0,0,5,0,0,0,0,0,55,622,0,0,11315,0,0,0,0,0,1677,419,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,1,0,0,5570,0
"Staphylococcus_simiae",0,0,0,0,0,0,0,0,0,0,248,0,0,0,5076,0,0,0,0,0,0,0,16,0,1533,0,17351,0,0,18090,0,0,0,0,0,0,34092,0,0,0,8,36776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,1,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,8229
"Streptococcus_agalactiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,4444,0,0,0,0,0,19,0,0,0,0,0
"Streptococcus_intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",37504,0,1154,0,11647,15714,1501,10804,24250,0,0,3230,0,31992,0,0,8452,0,0,1195,62812,139,16895,92214,2854,74999,5447,9756,0,0,0,0,33,75,29995,0,0,0,0,157518,286,0,92055,0,33420,0,18395,7981,16939,0,3279,24270,27558,35043,22033,3354,0,7477,0,0,0,42034,13359,775,0,0,0,9241,1891,0,21390,0,28345,16948,22825,0,0,2,15846,98,0,0,315,29644,0,0,0,4850,3036,0,0,1,15669,0,647,15881,26386,46610,33004,1265
"Streptococcus_parasanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3237,0,0,0,0,0,3318,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,4803,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Streptococcus_pneumoniae",0,90863,0,1865,0,0,0,0,2,2901,7226,0,15997,0,34235,79964,1,1521,81,0,0,0,0,0,0,0,0,0,95073,22198,0,49521,0,0,12,9287,0,7277,13225,0,0,7,0,89716,0,24067,0,0,0,1595,0,0,0,0,0,0,8981,0,34160,21098,12338,0,0,0,950,17967,60428,0,0,26148,0,54007,0,0,0,12565,357,29589,0,0,25115,13890,0,0,25856,32200,4260,0,0,30536,21097,3467,0,9573,0,0,5,4,0,2
"Streptococcus_sp.",26186,0,1700,514,0,0,0,4225,0,8234,2,16630,0,0,0,0,1368,12304,29,560,2391,190,27503,0,0,4694,5104,5807,0,0,0,26994,17,81,3,0,1,0,0,8318,0,0,0,0,0,0,7367,0,0,0,17023,0,1838,0,9,134,13023,6781,0,13478,12945,1399,12553,0,211,18,1244,768,7127,3829,10885,0,27328,0,9875,838,53,0,0,0,0,1378,0,585,0,0,0,1148,2369,6,0,13803,9091,132,118,0,8,23,10931,31887
"Ureaplasma_parvum",0,0,0,0,5847,0,0,0,27,0,0,0,306,0,0,0,0,0,393,53,0,5,0,471,8,0,0,76,0,0,182,60,50270,0,0,0,0,10,0,0,0,329,119,0,0,0,0,0,0,0,12,0,0,220,0,0,336,0,0,0,0,156,1100,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,15,18,0,0,0,0,0,0,0
"Veillonella_parvula",1749,379,0,0,0,27,0,710,0,1310,13,31,0,7,0,25,199,466,9,0,11176,214,5010,47,490,1665,45,25,107,0,0,82,0,0,7318,0,10,9,19,9396,0,1411,2727,6420,121,2543,22,765,4861,12,1213,228,1120,7015,20713,255,5577,10629,0,0,22165,0,47,0,0,1836,0,760,1378,0,881,0,0,0,675,631,0,14,0,0,1140,29,13,2402,1114,0,57,33,120,1818,0,398,4593,2,0,17,0,872,7993,17
